Date,INDEX
2017-05-02,47138.85
2017-05-03,46917.89
2017-05-04,46747.06
2017-05-05,47009.79
2017-05-08,47076.82
2017-05-09,47561.08
2017-05-10,47635.58
2017-05-11,47488.45
2017-05-12,47430.43
2017-05-15,47436.82
2017-05-16,47426.96
2017-05-17,47504.07
2017-05-18,47769.43
2017-05-19,47962.6
2017-05-22,48005.19
2017-05-23,48046.16
2017-05-24,47822.12
2017-05-25,47572.16
2017-05-26,47535.43
2017-05-29,47533.5
2017-05-30,47699.35
2017-05-31,47153.91
2017-06-01,46487.5
2017-06-02,46522.53
2017-06-05,46442.07
2017-06-06,45889.51
2017-06-07,45809.08
2017-06-08,45733.78
2017-06-09,45874.22
2017-06-12,45168.67
2017-06-13,45264.87
2017-06-14,45084.86
2017-06-15,44512.15
2017-06-19,45381.2
2017-06-20,44970.49
2017-06-21,45213.45
2017-06-22,44944.65
2017-06-23,45358.66
2017-06-26,45113.21
2017-06-27,45288.38
2017-06-28,45504.55
2017-06-29,45211.74
2017-06-30,45421.76
2017-07-03,45994.44
2017-07-04,45819.88
2017-07-05,46241.44
2017-07-06,46000.77
2017-07-07,45670.49
2017-07-10,45976.56
2017-07-11,46192.63
2017-07-12,46674.35
2017-07-13,47056.02
2017-07-14,47309.26
2017-07-17,47499.6
2017-07-18,46927.84
2017-07-19,47748.68
2017-07-20,47909.93
2017-07-21,47801.91
2017-07-24,48058.35
2017-07-25,48223.29
2017-07-26,48563.79
2017-07-27,48569.42
2017-07-28,48551.29
2017-07-31,48873.13
2017-08-01,49038.68
2017-08-02,48811.07
2017-08-03,49243.79
2017-08-04,49506.15
2017-08-07,49763.82
2017-08-08,49572.69
2017-08-10,49303.27
2017-08-11,48766.71
2017-08-14,49108.55
2017-08-15,48655.12
2017-08-16,49211.76
2017-08-17,49065.81
2017-08-18,48929.87
2017-08-21,49029.0
2017-08-22,49588.44
2017-08-23,49734.51
2017-08-24,50101.48
2017-08-25,50175.33
2017-08-28,50058.29
2017-08-29,49883.28
2017-08-30,49674.92
2017-08-31,49997.27
2017-09-01,49996.4
2017-09-04,49796.71
2017-09-05,49642.75
2017-09-06,49023.66
2017-09-07,49430.81
2017-09-08,49274.03
2017-09-11,49627.54
2017-09-12,49970.85
2017-09-13,49783.59
2017-09-14,49514.83
2017-09-15,49274.6
2017-09-18,49736.54
2017-09-19,49751.7
2017-09-20,49575.88
2017-09-21,49548.85
2017-09-22,49564.68
2017-09-26,48819.35
2017-09-27,49018.25
2017-09-28,48842.89
2017-09-29,49376.46
2017-10-02,49609.58
2017-10-03,50139.93
2017-10-04,50542.41
2017-10-05,50786.4
2017-10-06,51010.38
2017-10-09,51323.23
2017-10-10,51362.73
2017-10-11,51438.55
2017-10-12,51352.82
2017-10-13,51450.39
2017-10-16,51713.37
2017-10-17,51510.16
2017-10-18,51747.21
2017-10-19,51525.52
2017-10-20,51600.66
2017-10-23,51669.89
2017-10-24,51597.49
2017-10-25,51857.61
2017-10-26,52273.52
2017-10-27,52403.45
2017-10-30,52479.18
2017-10-31,52570.2
2017-11-01,53056.59
2017-11-02,52845.63
2017-11-03,53198.96
2017-11-06,53563.68
2017-11-07,53832.95
2017-11-08,53730.6
2017-11-09,53513.82
2017-11-10,53424.93
2017-11-13,53531.21
2017-11-14,53273.74
2017-11-15,53004.17
2017-11-16,53378.66
2017-11-17,53909.14
2017-11-20,54327.42
2017-11-21,55065.37
2017-11-22,54494.44
2017-11-23,53995.77
2017-11-24,53998.14
2017-11-27,53810.97
2017-11-28,53645.44
2017-11-29,53957.06
2017-11-30,53269.83
2017-12-01,52888.36
2017-12-04,53076.58
2017-12-05,52412.51
2017-12-06,51572.45
2017-12-07,51656.57
2017-12-08,51671.17
2017-12-11,51711.22
2017-12-12,51312.31
2017-12-13,51151.27
2017-12-14,51498.36
2017-12-15,50953.23
2017-12-18,51026.84
2017-12-19,51266.37
2017-12-20,51268.87
2017-12-21,52082.44
2017-12-22,52063.77
2017-12-27,51986.69
2017-12-28,52071.17
2017-12-29,52533.04
2018-01-02,52823.99
2018-01-03,52832.07
2018-01-04,52662.63
2018-01-05,52842.68
2018-01-08,53131.7
2018-01-09,53184.36
2018-01-10,53167.96
2018-01-11,52824.8
2018-01-12,53296.1
2018-01-15,53431.53
2018-01-16,53777.68
2018-01-17,54068.84
2018-01-18,54010.49
2018-01-19,54058.74
2018-01-22,54165.85
2018-01-23,54521.81
2018-01-24,54575.94
2018-01-25,54558.02
2018-01-26,54530.63
2018-01-29,53863.76
2018-01-30,52700.0
2018-01-31,52614.65
2018-02-01,52453.7
2018-02-02,51908.17
2018-02-05,50496.3
2018-02-06,49855.83
2018-02-07,50182.35
2018-02-08,49934.79
2018-02-09,49287.45
2018-02-12,49544.32
2018-02-13,50405.03
2018-02-14,50556.0
2018-02-15,52565.45
2018-02-16,52110.8
2018-02-19,51717.42
2018-02-20,51020.46
2018-02-21,51727.37
2018-02-22,51258.52
2018-02-23,51747.15
2018-02-26,51861.36
2018-02-27,52033.51
2018-02-28,51383.45
2018-03-01,51011.02
2018-03-02,50824.62
2018-03-05,51021.75
2018-03-06,52257.99
2018-03-07,52005.09
2018-03-08,52057.14
2018-03-09,52348.57
2018-03-12,52440.89
2018-03-13,52371.5
2018-03-14,51788.83
2018-03-15,51613.14
2018-03-16,51421.64
2018-03-19,51434.84
2018-03-20,51615.22
2018-03-22,50517.26
2018-03-23,49755.2
2018-03-26,49566.23
2018-03-27,49417.76
2018-03-28,48139.78
2018-03-29,48794.5
2018-04-03,48179.94
2018-04-04,48051.9
2018-04-05,49097.22
2018-04-06,49140.59
2018-04-09,49391.36
2018-04-10,50036.07
2018-04-11,49472.9
2018-04-12,49808.95
2018-04-13,49882.87
2018-04-16,50121.2
2018-04-17,50176.0
2018-04-18,51025.8
2018-04-19,50729.19
2018-04-20,50765.88
2018-04-23,50877.98
2018-04-24,50871.02
2018-04-25,50234.85
2018-04-26,50684.22
2018-04-30,51419.22
2018-05-02,51553.86
2018-05-03,50408.15
2018-05-04,50873.59
2018-05-07,51148.85
2018-05-08,51002.58
2018-05-09,51279.36
2018-05-10,51493.07
2018-05-11,51822.78
2018-05-14,52000.48
2018-05-15,51333.23
2018-05-16,52108.1
2018-05-17,51675.02
2018-05-18,51292.18
2018-05-21,51310.87
2018-05-22,51598.33
2018-05-23,50599.95
2018-05-24,50345.5
2018-05-25,50541.99
2018-05-28,50550.69
2018-05-29,49622.54
2018-05-30,49287.33
2018-05-31,49783.92
