Date,ABGJ,AGLJ,AMSJ,ANGJ,ANHJ,APNJ,BIDJ,BHPJ,BTIJ,BVTJ,CFRJ,CLSJ,CPIJ,DSYJ,EXXJ,FSRJ,GFIJ,GLNJ,IMPJ,INPJ,KIOJ,MCGJ,MNPJ,MTNJ,NEDJ,NRPJ,NHMJ,OMUJ,PPHJ,REMJ,NPNJn,PRXJn,RNIJ,S32J,SBKJ,SHPJ,SLMJ,SOLJ,VODJ,SSWJ
2017-05-02,14799.0,18446.0,32997.0,15111.0,150825.0,27949.0,28793.0,19087.0,90200.0,16479.0,11178.0,13470.0,77550.0,13376.0,10383.0,5039.0,4310.0,5115.0,4278.0,9860.0,17180.0,10505.0,33514.0,12680.0,22551.0,17740.0,5006.0,1779.0,2185.0,22150.0,247920.0,116800.0,31100.0,2682.0,15033.0,21101.0,7125.0,41633.0,15101.0,1629.0
2017-05-03,14759.0,17935.0,31100.0,15476.0,150787.0,27999.0,28316.0,18728.0,90045.0,16683.0,11309.0,13436.0,76801.0,13301.0,10044.0,5005.0,4370.0,4911.0,4139.0,9687.0,16268.0,10505.0,33248.0,12362.0,22250.0,17740.0,4668.0,1770.0,2185.0,22035.0,248673.0,116800.0,31000.0,2633.0,14750.0,20750.0,7057.0,41550.0,15232.0,1649.0
2017-05-04,14500.0,17394.0,31433.0,14943.0,161006.0,27600.0,28200.0,18566.0,91747.0,16510.0,11600.0,13421.0,77200.0,13302.0,9788.0,4802.0,4257.0,4892.0,4123.0,9889.0,15550.0,10505.0,33632.0,11900.0,21790.0,17740.0,4550.0,1763.0,2185.0,21800.0,248046.0,116800.0,31600.0,2608.0,14699.0,20500.0,6950.0,40800.0,15181.0,1615.0
2017-05-05,14440.0,17938.0,31450.0,15050.0,162064.0,27614.0,28900.0,18921.0,92476.0,16720.0,11610.0,13251.0,76566.0,13200.0,9404.0,4815.0,4310.0,5005.0,4140.0,9953.0,14891.0,10505.0,34116.0,11650.0,21620.0,17740.0,4550.0,1772.0,2185.0,21615.0,252300.0,116800.0,32220.0,2679.0,14603.0,20300.0,6947.0,40979.0,15200.0,1625.0
2017-05-08,14700.0,17701.0,30568.0,14770.0,161300.0,27795.0,29300.0,18843.0,93100.0,16449.0,11537.0,13335.0,76464.0,13246.0,9331.0,4885.0,4287.0,4996.0,4055.0,10167.0,14800.0,10505.0,33857.0,11877.0,21772.0,17740.0,4555.0,1796.0,2185.0,21748.0,252706.0,116800.0,32100.0,2673.0,14700.0,19900.0,6975.0,40500.0,15245.0,1598.0
2017-05-09,14791.0,18087.0,30991.0,14192.0,161199.0,28006.0,29700.0,19252.0,93600.0,16553.0,11480.0,13394.0,76465.0,13276.0,9703.0,4901.0,4310.0,5124.0,4165.0,10240.0,15492.0,10505.0,33915.0,11871.0,22172.0,17740.0,4658.0,1805.0,2185.0,22050.0,260613.0,116800.0,32330.0,2774.0,14745.0,20013.0,6963.0,40938.0,15132.0,1631.0
2017-05-10,14718.0,18250.0,31890.0,14770.0,159461.0,28110.0,29804.0,19331.0,92342.0,16874.0,11407.0,13515.0,76997.0,13408.0,9522.0,4954.0,4550.0,5045.0,4385.0,10195.0,15366.0,10505.0,33774.0,12099.0,22274.0,17740.0,4600.0,1800.0,2185.0,22595.0,259748.0,116800.0,31910.0,2677.0,14834.0,19600.0,7034.0,41014.0,15200.0,1716.0
2017-05-11,14560.0,18038.0,32052.0,15096.0,159167.0,28202.0,29810.0,19252.0,91978.0,16678.0,11415.0,13671.0,74900.0,13339.0,9473.0,4935.0,4657.0,5006.0,4393.0,10066.0,15542.0,10505.0,33033.0,12080.0,21990.0,17740.0,4653.0,1784.0,2185.0,22500.0,259673.0,116800.0,31530.0,2617.0,14819.0,19940.0,7039.0,40817.0,15218.0,1756.0
2017-05-12,14400.0,17982.0,31250.0,15334.0,159365.0,28558.0,29980.0,19127.0,92650.0,16569.0,10834.0,13650.0,77000.0,13346.0,9478.0,4947.0,4801.0,4927.0,4275.0,10103.0,15987.0,10505.0,33095.0,12104.0,21944.0,17740.0,4552.0,1787.0,2185.0,22461.0,264371.0,116800.0,31980.0,2597.0,14878.0,20097.0,7085.0,40738.0,15249.0,1795.0
2017-05-15,14394.0,18277.0,32450.0,15021.0,157790.0,27531.0,29390.0,19342.0,91710.0,16976.0,10871.0,13818.0,78000.0,13300.0,9529.0,4978.0,4826.0,5017.0,4398.0,10080.0,15673.0,10505.0,33104.0,12111.0,22005.0,17740.0,4590.0,1774.0,2185.0,22466.0,264518.0,116800.0,31630.0,2631.0,14905.0,20057.0,7058.0,40850.0,15286.0,1768.0
2017-05-16,14547.0,18393.0,32017.0,14856.0,156946.0,27872.0,30375.0,19402.0,92760.0,16976.0,10861.0,13764.0,77773.0,13235.0,9651.0,5015.0,4850.0,5011.0,4328.0,10200.0,16008.0,10505.0,33128.0,12200.0,22200.0,17740.0,4510.0,1778.0,2185.0,22505.0,258704.0,116800.0,31730.0,2619.0,15035.0,20168.0,7148.0,40800.0,15995.0,1746.0
2017-05-17,14262.0,18423.0,32444.0,15699.0,158716.0,27891.0,30700.0,19400.0,93690.0,16693.0,10807.0,13443.0,77122.0,12958.0,9191.0,4950.0,5047.0,4967.0,4280.0,10300.0,15600.0,10505.0,33014.0,12130.0,21700.0,17740.0,4530.0,1780.0,2185.0,22383.0,264033.0,116800.0,32090.0,2623.0,14685.0,19692.0,7047.0,41100.0,16026.0,1777.0
2017-05-18,14179.0,18597.0,30816.0,15500.0,155654.0,27648.0,30043.0,19767.0,93645.0,16466.0,11037.0,13450.0,77605.0,12747.0,9458.0,4940.0,5104.0,5047.0,4224.0,10479.0,15275.0,10505.0,32935.0,11994.0,21460.0,17740.0,4450.0,1781.0,2185.0,22517.0,267618.0,116800.0,32380.0,2593.0,14490.0,19800.0,6996.0,41171.0,16085.0,1704.0
